mac_client,packetsNb_client,encoding_client,number_client,channel_client,carrier_client,datasize_client,encrypted_clients_packets,client_type,connected_network
00:06:78:24:0B:C1,18,,1,0,None,0,0,tods,00:06:78:24:0B:C1
22:C0:06:72:93:BC,84,,1,1,None,0,0,fromds,22:C0:06:72:93:BC
52:57:9C:94:52:C4,26,CCK,1,10,IEEE 802.11b+,0,0,fromds,52:57:9C:94:52:C4
54:60:09:FE:5E:0C,4,CCK,1,0,IEEE 802.11b,0,0,tods,54:60:09:FE:5E:0C
A8:5E:45:DC:EE:88,33,,1,3,None,966,11,fromds,A8:5E:45:DC:EE:88
AC:89:95:AD:35:C1,1,,2,0,None,88,1,fromds,A8:5E:45:DC:EE:88
E0:69:95:57:C5:DC,5,,3,0,None,614,5,fromds,A8:5E:45:DC:EE:88
A8:5E:45:DC:EE:89,34,,1,3,None,156,2,fromds,A8:5E:45:DC:EE:89
B8:27:EB:90:24:00,2,,1,0,None,0,0,tods,B8:27:EB:90:24:00
C4:41:1E:99:0C:1D,55,,1,4,None,0,0,fromds,C4:41:1E:99:0C:1D
00:04:4B:BA:93:C1,1,CCK,1,0,IEEE 802.11b,97,1,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0C:1E,27,CCK,2,48,IEEE 802.11b,168,2,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0E:9C,1,CCK,3,0,IEEE 802.11b,76,1,fromds,C4:41:1E:99:0C:1E
C4:41:1E:99:0E:9D,1,CCK,4,0,IEEE 802.11b,160,1,fromds,C4:41:1E:99:0C:1E
D6:0B:C5:61:02:B1,2,CCK,5,0,IEEE 802.11b,703,2,fromds,C4:41:1E:99:0C:1E
00:04:4B:BA:93:C1,2,PBCC,1,0,IEEE 802.11b+,274,2,fromds,C4:41:1E:99:0D:3A
0C:37:96:59:04:6A,36,PBCC,2,0,IEEE 802.11b+,3632,36,fromds,C4:41:1E:99:0D:3A
50:57:9C:94:D2:C4,1,PBCC,3,0,IEEE 802.11b+,80,1,fromds,C4:41:1E:99:0D:3A
56:91:EB:35:A7:CB,19,CCK,4,0,IEEE 802.11b+,456,0,tods,C4:41:1E:99:0D:3A
98:00:C6:02:0D:18,2,CCK,5,0,IEEE 802.11b+,48,0,tods,C4:41:1E:99:0D:3A
B8:27:EB:90:24:00,73,PBCC,6,0,IEEE 802.11b+,85615,68,tods,C4:41:1E:99:0D:3A
C4:41:1E:99:0D:3A,11,PBCC,7,0,IEEE 802.11b+,840,10,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0E:9C,3,PBCC,8,0,IEEE 802.11b+,228,3,fromds,C4:41:1E:99:0D:3A
C4:41:1E:99:0E:9D,1,PBCC,9,0,IEEE 802.11b+,160,1,fromds,C4:41:1E:99:0D:3A
00:04:4B:BA:93:C1,4,CCK,1,0,IEEE 802.11b,388,4,fromds,C4:41:1E:99:0D:3C
2C:F0:5D:A4:25:32,1,CCK,2,0,IEEE 802.11b,120,1,fromds,C4:41:1E:99:0D:3C
50:57:9C:94:D2:C4,1,CCK,3,0,IEEE 802.11b,120,1,fromds,C4:41:1E:99:0D:3C
54:60:09:FE:5E:0C,1,CCK,4,0,IEEE 802.11b,90,1,fromds,C4:41:1E:99:0D:3C
56:91:EB:35:A7:CB,2,CCK,5,0,IEEE 802.11b,262,2,fromds,C4:41:1E:99:0D:3C
CA:41:1E:99:0C:1F,4,CCK,6,0,IEEE 802.11b,320,4,fromds,C4:41:1E:99:0D:3C
D6:0B:C5:61:02:B1,7,CCK,7,0,IEEE 802.11b,472,2,established,C4:41:1E:99:0D:3C
00:04:4B:BA:93:C1,8,PBCC,1,0,IEEE 802.11b+,856,8,fromds,C4:41:1E:99:0E:9D
56:91:EB:35:A7:CB,2,PBCC,2,0,IEEE 802.11b+,262,2,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9C,3,PBCC,3,0,IEEE 802.11b+,228,3,fromds,C4:41:1E:99:0E:9D
C4:41:1E:99:0E:9D,87,CCK,4,10,IEEE 802.11b,275,1,fromds,C4:41:1E:99:0E:9D
CA:41:1E:99:0D:3B,13,CCK,5,0,IEEE 802.11b,1098,13,fromds,C4:41:1E:99:0E:9D
D4:D2:D6:74:30:75,1,CCK,6,0,IEEE 802.11b,24,0,tods,C4:41:1E:99:0E:9D
D6:0B:C5:61:02:B1,2,CCK,7,0,IEEE 802.11b,352,2,fromds,C4:41:1E:99:0E:9D
FE:44:AF:23:41:B3,5,PBCC,8,0,IEEE 802.11b+,504,4,established,C4:41:1E:99:0E:9D
00:21:CC:6C:7E:DA,2,CCK,1,0,IEEE 802.11b,240,2,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0C:1C,3,CCK,2,0,IEEE 802.11b,272,3,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9C,1,CCK,3,0,IEEE 802.11b,76,1,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9D,1,CCK,4,0,IEEE 802.11b,80,1,fromds,C4:41:1E:99:0E:9E
C4:41:1E:99:0E:9E,27,CCK,5,36,IEEE 802.11b,0,0,fromds,C4:41:1E:99:0E:9E
00:04:4B:BA:93:C1,4,CCK,1,0,IEEE 802.11b,388,4,fromds,C4:41:1E:99:0E:9F
2A:98:A9:35:B2:0D,1,CCK,2,0,IEEE 802.11b,24,0,tods,C4:41:1E:99:0E:9F
54:60:09:FE:5E:0C,1,CCK,3,0,IEEE 802.11b,90,1,fromds,C4:41:1E:99:0E:9F
C4:41:1E:99:0E:9F,32,CCK,4,149,IEEE 802.11b,0,0,fromds,C4:41:1E:99:0E:9F
CA:41:1E:99:0D:3B,4,CCK,5,0,IEEE 802.11b,336,4,fromds,C4:41:1E:99:0E:9F
D6:0B:C5:61:02:B1,1,CCK,6,0,IEEE 802.11b,166,1,fromds,C4:41:1E:99:0E:9F
CA:41:1E:99:0C:1D,65,,1,4,None,0,0,fromds,CA:41:1E:99:0C:1D
CA:41:1E:99:0D:3A,69,,1,1,None,0,0,fromds,CA:41:1E:99:0D:3A
CA:41:1E:99:0E:9D,88,,1,10,None,0,0,fromds,CA:41:1E:99:0E:9D